user_id,interval_between_bookings,not_book_interval,rank
125824,NULL,43,B
126118,0,0,B
126122,173,173,C
126224,NULL,14,B
126309,43,43,B
126386,120,120,B
126424,NULL,209,C
126557,13,13,B
126661,52,52,B
126666,0,0,B
126668,NULL,148,B
126696,102,102,B
126746,NULL,211,C
126901,29,29,A
126902,34,34,B
126979,43,43,B
126995,3,3,AA
127031,NULL,324,C
127054,33,33,B
127099,NULL,79,B
127423,44,44,AA
127639,24,24,AA
127659,NULL,147,B
127678,27,27,C
127934,98,98,B
128048,NULL,187,C
128122,NULL,174,B
128206,23,23,A
128716,NULL,197,C
129025,NULL,266,C
129133,NULL,171,C
129278,NULL,184,C
129485,21,21,B
129658,NULL,147,C
129716,NULL,40,B
129734,10,10,B
129790,NULL,277,C
129915,NULL,293,C
129918,152,152,C
129969,36,36,B
130003,NULL,221,C
130068,NULL,222,C
130101,167,167,B
130180,NULL,206,C
130260,NULL,86,B
130662,0,0,B
130684,66,66,B
130726,106,106,B
131051,92,92,B
131425,21,21,B
131588,NULL,4,C
131691,11,11,B
131693,22,22,B
132392,NULL,320,C
132448,NULL,166,C
132514,NULL,212,C
132581,NULL,331,C
132643,0,0,C
132652,37,37,B
132693,99,99,C
132809,3,3,A
132829,NULL,52,B
133054,NULL,175,C
133136,34,34,B
133152,47,47,B
133229,67,67,C
133247,3,3,A
133511,212,212,B
133612,16,16,A
133678,NULL,339,C
133722,4,4,A
133771,5,5,C
133786,NULL,62,C
134010,146,146,B
134088,19,19,B
134317,NULL,219,C
134402,101,101,B
134471,30,30,B
134499,34,34,B
134521,NULL,54,B
134609,NULL,123,B
134813,2,2,AA
134821,NULL,296,C
135052,20,20,B
135099,NULL,203,C
135138,NULL,135,C
135175,NULL,110,C
135228,NULL,184,C
135385,124,124,C
135491,6,6,A
135596,144,144,C
135853,17,17,C
136080,123,123,C
136105,13,13,B
136202,NULL,123,C
136468,NULL,163,C
136515,35,35,B
136809,100,100,C
136846,112,112,B
136888,NULL,27,B
136912,NULL,196,C
137231,NULL,215,C
137396,NULL,292,C
137444,NULL,217,C
137535,NULL,21,C
137812,129,129,C
138010,30,30,B
138229,NULL,184,C
138235,8,8,B
138279,NULL,85,C
138440,NULL,197,C
138552,NULL,11,C
138751,0,0,B
138758,NULL,165,C
138824,NULL,13,C
138873,NULL,219,C
138906,58,58,B
139006,29,29,C
139576,NULL,213,C
139675,16,16,B
139716,NULL,149,C
139734,16,16,AA
139786,NULL,159,C
139821,NULL,51,B
139880,NULL,352,C
139952,154,154,C
140002,NULL,4,B
140063,NULL,90,B
140081,15,15,B
140188,NULL,189,C
140241,0,0,A
140321,14,14,C
140334,NULL,343,C
140344,20,20,B
140476,NULL,247,C
140765,NULL,85,C
140782,NULL,17,B
140894,38,38,B
141066,127,127,C
141283,NULL,108,C
141290,NULL,13,C
141298,NULL,332,C
141425,NULL,14,C
141441,NULL,204,C
141527,17,17,B
141562,47,47,B
141564,NULL,184,C
141610,NULL,189,C
141737,NULL,74,C
142041,1,1,B
142074,NULL,174,C
142165,NULL,107,B
142268,286,286,C
142303,29,29,B
142309,7,7,B
142409,0,0,A
142632,NULL,87,B
142640,NULL,106,B
143028,7,7,B
143186,162,162,C
143388,NULL,220,C
143518,NULL,118,B
143679,6,6,A
143931,NULL,121,C
144023,NULL,363,C
144268,155,155,B
144379,NULL,232,C
144381,29,29,A
144455,NULL,241,C
144491,54,54,B
144574,NULL,70,C
144747,5,5,B
144773,98,98,B
144785,NULL,85,C
144841,80,80,B
144888,40,40,B
144968,NULL,262,C
145215,NULL,94,C
